,column_removed,k,accuracy
0,0,1,0.6666666666666666
1,0,2,0.6666666666666666
2,0,3,0.6166666666666667
3,0,4,0.6833333333333333
4,1,1,0.65
5,1,2,0.65
6,1,3,0.6166666666666667
7,1,4,0.6833333333333333
8,2,1,0.65
9,2,2,0.65
10,2,3,0.6166666666666667
11,2,4,0.6833333333333333
12,3,1,0.6666666666666666
13,3,2,0.6666666666666666
14,3,3,0.6
15,3,4,0.7166666666666667
16,4,1,0.7833333333333333
17,4,2,0.7833333333333333
18,4,3,0.7
19,4,4,0.8
20,5,1,0.7666666666666667
21,5,2,0.7666666666666667
22,5,3,0.7
23,5,4,0.7833333333333333
24,6,1,0.75
25,6,2,0.75
26,6,3,0.7
27,6,4,0.7666666666666667
28,7,1,0.75
29,7,2,0.75
30,7,3,0.7
31,7,4,0.7666666666666667
32,8,1,0.75
33,8,2,0.75
34,8,3,0.7
35,8,4,0.7666666666666667
36,9,1,0.7166666666666667
37,9,2,0.7166666666666667
38,9,3,0.6666666666666666
39,9,4,0.7666666666666667
40,10,1,0.7
41,10,2,0.7
42,10,3,0.6666666666666666
43,10,4,0.7666666666666667
44,11,1,0.6833333333333333
45,11,2,0.6833333333333333
46,11,3,0.6333333333333333
47,11,4,0.7166666666666667
48,12,1,0.3333333333333333
49,12,2,0.3333333333333333
50,12,3,0.3333333333333333
51,12,4,0.3333333333333333
